Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-March-2019,1262.70,1279.00,1258.90,1269.85,1270.266330678022004817,779193,11921,989782633.00,300421,38.56,20.10,7.15
6-March-2019,1239.50,1271.80,1235.50,1263.55,1258.198665828282430463,736337,13752,926458231.00,230466,31.30,36.30,24.05
5-March-2019,1226.70,1239.40,1218.20,1236.95,1230.387009313144911853,586805,10310,721997249.00,208919,35.60,21.20,10.25
1-March-2019,1235.00,1242.50,1222.45,1226.70,1228.083907554497644330,507499,7949,623251355.00,267940,52.80,20.05,-8.30
28-February-2019,1231.00,1239.50,1225.35,1231.55,1234.036350432222647373,512236,7882,632117844.00,270759,52.86,14.15,0.55
27-February-2019,1227.40,1244.00,1209.15,1222.45,1225.664100941326202390,575146,14288,704935805.00,129605,22.53,34.85,-4.95
26-February-2019,1214.40,1233.60,1206.15,1219.70,1222.369903853177150809,520246,11051,635933053.00,134740,25.90,27.45,5.30
25-February-2019,1235.80,1243.00,1223.15,1232.15,1231.000508503151631832,367746,8020,452695513.00,127960,34.80,19.85,-3.65
22-February-2019,1241.25,1245.90,1226.10,1232.60,1232.574726548863404496,1034097,9327,1274601827.00,761068,73.60,19.80,-8.65
21-February-2019,1236.00,1256.70,1230.20,1246.45,1245.968440941621047999,772710,12110,962772274.00,462457,59.85,26.50,10.45
20-February-2019,1226.10,1239.25,1218.75,1234.35,1226.259126834107013129,843803,8714,1034721130.00,518602,61.46,20.50,8.25
19-February-2019,1219.20,1239.70,1211.30,1216.35,1226.795387926972617211,403246,7444,494700333.00,54509,13.52,28.40,-2.85
18-February-2019,1245.30,1251.40,1215.95,1219.75,1229.892839886092804996,796789,15525,979965086.00,401090,50.34,35.45,-25.55
15-February-2019,1225.00,1248.50,1215.00,1243.50,1227.948886830640458303,641322,10318,787510636.00,337826,52.68,33.50,18.50
14-February-2019,1240.25,1242.70,1218.10,1225.50,1229.205334144341892999,378130,8225,464799413.00,68692,18.17,24.60,-14.75
13-February-2019,1261.00,1272.90,1235.00,1244.40,1259.229365541940240862,712025,7867,896602789.00,360005,50.56,37.90,-16.60
12-February-2019,1253.00,1272.00,1251.90,1256.70,1260.459532516727846951,435053,8373,548366701.00,144990,33.33,20.10,3.70
11-February-2019,1277.00,1277.00,1251.00,1253.45,1258.755213887990912139,330991,7547,416636647.00,156862,47.39,26.00,-23.55
8-February-2019,1287.00,1298.70,1272.25,1277.35,1282.205791723193612866,872003,9694,1118087297.00,527492,60.49,26.45,-9.65
7-February-2019,1310.95,1320.85,1285.80,1290.20,1302.562114000448671688,739962,17752,963846467.00,285091,38.53,35.05,-20.75
6-February-2019,1298.00,1316.50,1292.00,1309.85,1309.567038895351405474,1086608,16587,1422986021.00,521833,48.02,24.50,11.85
5-February-2019,1292.00,1304.25,1278.60,1290.30,1293.196715436118150418,945879,17376,1223207616.00,395981,41.86,25.65,-1.70
4-February-2019,1245.55,1297.00,1245.00,1291.15,1269.163733205000981489,1105463,19155,1403013548.00,526974,47.67,52.00,45.60
1-February-2019,1234.00,1253.00,1225.75,1247.30,1238.354463016318026358,927747,15561,1148879638.00,499100,53.80,27.25,13.30
31-January-2019,1201.00,1229.80,1201.00,1227.10,1219.771943585027516552,620899,18129,757355180.00,266677,42.95,28.80,26.10
30-January-2019,1215.00,1224.90,1190.55,1194.80,1206.994492151482497750,450085,10108,543250116.00,152321,33.84,34.35,-20.20
29-January-2019,1230.00,1231.90,1201.60,1210.90,1211.181977634207726836,578115,8825,700202469.00,286431,49.55,30.30,-19.10
28-January-2019,1253.00,1255.45,1221.75,1229.60,1237.350257365687876952,787401,9609,974290830.00,207788,26.39,33.70,-23.40
25-January-2019,1250.10,1263.00,1236.55,1246.25,1253.507289482760625167,516086,11215,646917563.00,133069,25.78,26.45,-3.85
24-January-2019,1225.05,1251.75,1220.10,1245.40,1240.628752774013370189,946733,16585,1174544181.00,324758,34.30,31.65,20.35
23-January-2019,1233.40,1244.00,1222.50,1225.70,1232.768916574522438708,419632,7946,517309286.00,145350,34.64,21.50,-7.70
22-January-2019,1234.00,1246.25,1219.40,1234.75,1233.820950418117259754,1241159,19614,1531367977.00,491297,39.58,26.85,0.75
21-January-2019,1193.90,1237.40,1189.75,1234.50,1223.844257442750311903,1461187,30093,1788265319.00,311010,21.28,47.65,40.60
18-January-2019,1149.70,1189.25,1135.50,1182.95,1164.453006016123343244,1808806,32839,2106269584.00,481746,26.63,53.75,33.25
17-January-2019,1141.00,1147.80,1129.10,1133.75,1135.871664512903894939,776161,12737,881619287.00,320013,41.23,18.70,-7.25
16-January-2019,1134.70,1144.65,1130.25,1134.05,1138.133417852077871846,465380,9362,529664530.00,130499,28.04,14.40,-0.65
15-January-2019,1103.20,1132.30,1103.20,1129.55,1124.194381284040520022,661895,12574,744098640.00,316805,47.86,29.10,26.35
14-January-2019,1096.70,1102.00,1086.25,1096.45,1092.911658011006898690,258020,5879,281993066.00,94567,36.65,15.75,-0.25
11-January-2019,1109.30,1114.00,1089.50,1097.90,1099.171060093372088400,477873,8840,525264172.00,121689,25.46,24.50,-11.40
10-January-2019,1108.40,1110.65,1102.10,1105.65,1105.416905725625810508,203576,3977,225036352.00,74180,36.44,8.55,-2.75
9-January-2019,1111.90,1116.00,1098.50,1108.40,1109.591810739722788663,338370,7291,375452581.00,72511,21.43,17.50,-3.50
8-January-2019,1106.35,1109.90,1096.10,1103.95,1101.608098267966730008,513616,6328,565803545.00,277431,54.02,13.80,-2.40
7-January-2019,1105.15,1117.95,1101.00,1103.45,1109.602058183257470809,303180,6341,336409152.00,88316,29.13,16.95,-1.70
4-January-2019,1098.00,1104.35,1081.25,1099.05,1093.860703230215682727,397992,9088,435347809.00,105150,26.42,23.10,1.05
3-January-2019,1108.05,1114.45,1089.65,1091.75,1100.466799796104703595,357046,9329,392917269.00,95474,26.74,24.80,-16.30
2-January-2019,1116.00,1126.75,1101.45,1106.30,1112.256269757639620653,322660,7052,358880608.00,78233,24.25,25.30,-9.70
1-January-2019,1126.00,1130.00,1111.55,1121.35,1118.855772245326564453,264741,6178,296206996.00,70943,26.80,18.45,-4.65
31-December-2018,1127.15,1133.40,1116.60,1121.05,1122.607469385283744304,264252,5537,296651269.00,64647,24.46,16.80,-6.10
28-December-2018,1123.30,1135.90,1122.00,1125.80,1129.832111257475257335,343132,7868,387681552.00,87263,25.43,13.90,2.50
27-December-2018,1105.00,1125.90,1104.45,1120.00,1119.317815701459849199,454773,11609,509035521.00,111874,24.60,21.45,15.00
26-December-2018,1087.00,1100.65,1066.55,1096.95,1081.033615975642367289,474923,12592,513407728.00,84857,17.87,34.10,9.95
24-December-2018,1101.80,1103.00,1086.50,1090.05,1093.660721615555004973,270421,6340,295748826.00,57737,21.35,16.50,-11.75
21-December-2018,1128.30,1131.40,1095.00,1098.35,1109.692982907773819858,835175,11407,926787837.00,517822,62.00,36.40,-29.95
20-December-2018,1124.00,1131.95,1116.50,1127.25,1125.209471713376128594,306576,8623,344962219.00,75601,24.66,15.45,3.25
19-December-2018,1138.65,1146.55,1131.40,1137.10,1141.179955494877610913,1116276,7385,1273871796.00,877394,78.60,15.15,-1.55
18-December-2018,1122.00,1139.50,1120.80,1136.45,1130.632831234139641002,300671,6444,339948504.00,57121,19.00,18.70,14.45
17-December-2018,1114.70,1133.80,1110.30,1130.60,1125.271802573733407315,374864,8112,421823889.00,83652,22.32,23.50,15.90
14-December-2018,1103.90,1115.00,1092.60,1111.75,1107.235816685152619507,384977,8605,426260323.00,70910,18.42,22.40,7.85
13-December-2018,1125.60,1126.35,1096.55,1106.80,1110.673795361786945929,632140,11297,702101333.00,287519,45.48,29.80,-18.80
12-December-2018,1100.00,1113.35,1088.10,1110.50,1099.231317615736517396,1035909,11812,1138703615.00,607762,58.67,25.25,10.50
11-December-2018,1066.10,1100.20,1055.35,1096.20,1079.168192954869582025,957115,20943,1032888065.00,229901,24.02,44.85,30.10
10-December-2018,1112.65,1112.75,1084.00,1088.50,1090.923258102213302991,1104729,16559,1205174560.00,762774,69.05,28.75,-24.15
7-December-2018,1132.80,1135.20,1109.10,1133.25,1125.911385632044742659,256042,6870,288280603.00,63497,24.80,26.10,0.45
6-December-2018,1147.50,1147.85,1118.25,1123.45,1135.894110657975016858,249128,8001,282983028.00,69192,27.77,29.60,-24.05
5-December-2018,1144.70,1159.00,1139.60,1154.85,1150.495948836827942963,268318,6005,308698772.00,70546,26.29,19.40,10.15
4-December-2018,1157.00,1157.40,1142.95,1151.55,1149.317192642787996127,206600,4741,237448932.00,34752,16.82,14.45,-5.45
3-December-2018,1172.05,1174.00,1148.65,1156.30,1158.381920208033942380,292260,8019,338548700.00,79862,27.33,25.35,-15.75
30-November-2018,1172.00,1186.00,1162.95,1168.20,1173.569391549233798664,454515,16103,533404892.00,118071,25.98,23.05,-3.80
29-November-2018,1159.00,1179.90,1158.80,1170.00,1171.965290094966532150,413830,14828,484994396.00,116134,28.06,21.10,11.00
28-November-2018,1132.30,1157.70,1126.50,1146.25,1139.617156918996799653,1098006,17132,1251306476.00,169921,15.48,31.20,13.95
27-November-2018,1109.50,1129.40,1101.70,1127.50,1122.579155183379266482,264152,6556,296531529.00,61921,23.44,27.70,18.00
26-November-2018,1109.95,1117.25,1098.05,1109.60,1107.733301622271179651,279608,6373,309731093.00,66919,23.93,19.20,-0.35
22-November-2018,1114.70,1125.10,1100.00,1102.85,1112.906518704015601453,360992,8015,401750350.00,76688,21.24,25.10,-11.85
21-November-2018,1137.00,1145.40,1107.05,1112.30,1115.365938481683254548,499461,9198,557081787.00,192693,38.58,38.35,-24.70
20-November-2018,1146.00,1155.45,1130.40,1138.65,1141.293971163395426545,472247,6805,538972654.00,64810,13.72,25.05,-7.35
19-November-2018,1132.00,1151.40,1131.20,1149.60,1141.130495047580166992,514395,13163,586991821.00,215124,41.82,20.20,17.60
16-November-2018,1096.10,1129.30,1096.10,1127.50,1122.166917513571339152,702952,14307,788829479.00,161502,22.97,33.20,31.40
15-November-2018,1096.00,1102.85,1087.10,1096.90,1094.984758451321714403,286257,6454,313447052.00,52445,18.32,15.75,0.90
14-November-2018,1105.00,1112.85,1087.00,1096.10,1098.051187503421942806,420083,8532,461272637.00,88950,21.17,25.85,-8.90
13-November-2018,1075.90,1102.80,1071.00,1099.55,1090.265427750690630537,363436,8299,396241706.00,83791,23.06,31.80,23.65
12-November-2018,1098.50,1100.05,1074.30,1078.75,1085.915927104425802719,259275,7060,281550852.00,73519,28.36,25.75,-19.75
9-November-2018,1106.00,1113.30,1086.00,1093.35,1100.432592436532181607,379720,7920,417856264.00,94582,24.91,27.30,-12.65
7-November-2018,1116.80,1117.00,1106.60,1110.55,1110.660072555268274106,99786,3836,110828326.00,42586,42.68,10.40,-6.25
6-November-2018,1094.30,1111.95,1093.05,1103.45,1104.369267744487248713,661149,11150,730152637.00,249829,37.79,18.90,9.15
5-November-2018,1074.00,1093.50,1064.50,1088.55,1072.589550319978448391,5052059,14534,5418785691.00,4346186,86.03,29.00,14.55
2-November-2018,1067.80,1081.00,1063.00,1074.25,1069.774226839061543225,4308094,14539,4608687928.00,3619191,84.01,18.00,6.45
1-November-2018,1066.40,1068.80,1050.30,1056.90,1058.489017097488171868,393976,9454,417019269.00,85260,21.64,18.50,-9.50
31-October-2018,1064.70,1065.70,1047.65,1061.40,1061.406704939286457302,3153168,10980,3346793657.00,2709209,85.92,18.05,-3.30
30-October-2018,1087.45,1087.45,1052.00,1057.15,1064.765084944346807264,558189,13384,594340158.00,138891,24.88,35.45,-30.30
29-October-2018,1047.70,1093.15,1047.00,1088.00,1071.352596622980388788,535561,12329,573774668.00,114234,21.33,46.15,40.30
26-October-2018,1040.00,1056.75,1022.15,1044.70,1043.700571887227851911,647855,14144,676166634.00,89817,13.86,34.60,4.70
25-October-2018,1036.00,1040.05,1017.00,1030.20,1029.148342577121871792,704437,17801,724970171.00,193416,27.46,23.05,-5.80
24-October-2018,1074.00,1074.95,1031.00,1046.60,1049.174530456396895426,584557,13935,613302316.00,160476,27.45,43.95,-27.40
23-October-2018,1053.00,1064.50,1043.70,1052.60,1053.389206468383302333,527427,12615,555585909.00,141338,26.80,20.80,-0.40
22-October-2018,1111.00,1114.80,1057.35,1062.45,1081.490803836838474791,646574,19144,699263835.00,211879,32.77,57.45,-48.55
19-October-2018,1103.90,1110.00,1073.15,1101.65,1091.483717483717483717,1461537,29562,1595243838.00,655286,44.84,36.85,-2.25
17-October-2018,1180.00,1180.95,1141.00,1148.90,1168.247769947962584816,1452993,15094,1697455832.00,898169,61.82,39.95,-31.10
16-October-2018,1146.15,1168.00,1140.80,1163.65,1155.505975898322528415,464449,11757,536673595.00,118255,25.46,27.20,17.50
15-October-2018,1133.30,1146.35,1119.25,1139.80,1137.466520180409390540,397762,12777,452440958.00,75084,18.88,27.10,6.50
12-October-2018,1102.50,1129.00,1102.00,1126.40,1121.248509316213259688,446104,11160,500193445.00,104315,23.38,27.00,23.90
11-October-2018,1067.80,1114.40,1043.05,1089.20,1086.152927173741208810,765397,17702,831338192.00,142520,18.62,71.35,21.40
10-October-2018,1095.00,1114.70,1085.10,1102.35,1101.459998171570892396,404719,10879,445781789.00,67328,16.64,29.60,7.35
9-October-2018,1121.10,1123.50,1080.75,1090.40,1103.029464789640881750,620130,16031,684021662.00,125017,20.16,42.75,-30.70
8-October-2018,1048.85,1115.35,1025.20,1107.95,1083.820858327684397061,1330634,31974,1442168884.00,276727,20.80,90.15,59.10
5-October-2018,1102.60,1115.55,1039.55,1049.85,1078.781661904896851220,1164483,37869,1256222906.00,271825,23.34,76.00,-52.75
4-October-2018,1199.00,1199.00,1105.05,1120.55,1140.900705335074634920,1482416,42726,1691289460.00,459995,31.03,93.95,-78.45
3-October-2018,1233.10,1239.75,1198.70,1205.30,1216.429484156209850355,430421,11873,523576795.00,130256,30.26,41.05,-27.80
1-October-2018,1258.20,1260.00,1204.30,1231.55,1227.095172534126505941,366797,9965,450094828.00,66461,18.12,55.70,-26.65
28-September-2018,1260.00,1271.10,1247.65,1258.20,1256.213811332866299829,648062,12202,814104435.00,339361,52.37,23.45,-1.80
27-September-2018,1259.80,1263.25,1238.60,1252.90,1251.819547694433102994,389427,9977,487492331.00,85334,21.91,24.65,-6.90
26-September-2018,1235.20,1254.10,1226.80,1251.75,1240.607314509083909560,337685,8887,418934481.00,131410,38.91,27.30,16.55
25-September-2018,1233.30,1244.90,1195.75,1230.60,1226.820889955240130650,396784,14124,486782900.00,73170,18.44,49.15,-2.70
24-September-2018,1216.00,1239.90,1204.25,1232.30,1224.787549459595825477,451884,14400,553461897.00,192393,42.58,35.65,16.30
21-September-2018,1220.05,1237.10,1183.20,1216.85,1223.288332238630986432,566364,14105,692826473.00,202323,35.72,53.90,-3.20
19-September-2018,1225.00,1227.00,1201.20,1210.30,1210.645654344494496818,861320,13027,1042753315.00,501202,58.19,25.80,-14.70
18-September-2018,1224.00,1238.90,1214.25,1217.20,1228.184924383378655598,314415,9624,386159763.00,81647,25.97,24.65,-6.80
17-September-2018,1251.90,1251.90,1220.50,1226.25,1233.111595644575883855,371950,10206,458655858.00,100654,27.06,31.40,-25.65
14-September-2018,1261.00,1275.00,1248.55,1252.80,1257.863695068483839173,294230,7446,370101235.00,79267,26.94,26.45,-8.20
12-September-2018,1244.45,1257.65,1229.85,1252.70,1243.499809486484426880,459285,9593,571120810.00,62561,13.62,27.80,8.25
11-September-2018,1260.00,1267.75,1235.00,1238.45,1252.894717573936206543,366025,9979,458590789.00,82487,22.54,32.75,-21.55
10-September-2018,1275.00,1276.75,1251.55,1257.15,1263.687195223136694333,343489,9264,434062651.00,71284,20.75,25.20,-17.85
7-September-2018,1267.70,1279.90,1254.85,1276.75,1271.423463983050847457,430464,10897,547302030.00,91640,21.29,25.05,9.05
6-September-2018,1230.00,1263.80,1226.00,1260.15,1245.310056910380016781,558949,12177,696064811.00,102255,18.29,37.80,30.15
5-September-2018,1245.00,1252.45,1210.00,1225.80,1228.889420920613299224,1203980,17285,1479558285.00,596628,49.55,42.45,-19.20
4-September-2018,1235.00,1254.75,1230.00,1242.35,1241.189098129289351339,433632,10816,538219311.00,65432,15.09,24.75,7.35
3-September-2018,1249.00,1258.00,1227.50,1230.40,1244.617672812399915796,1220847,12950,1519487752.00,793456,64.99,30.50,-18.60
31-August-2018,1273.80,1273.80,1237.05,1240.95,1251.350399213721861896,1284024,14772,1606763945.00,900813,70.16,36.75,-32.85
30-August-2018,1300.00,1300.00,1270.45,1274.10,1278.056379830189254935,1802595,11065,2303818040.00,1472726,81.70,29.55,-25.90
29-August-2018,1319.00,1328.75,1290.30,1294.45,1309.211051735892640880,570571,15437,746997859.00,137151,24.04,38.45,-24.55
28-August-2018,1298.75,1323.00,1295.50,1318.20,1310.944019012410879324,484736,12158,635461760.00,115900,23.91,27.50,19.45
27-August-2018,1280.05,1296.20,1280.00,1291.60,1290.466958294255467152,288953,7343,372884299.00,68974,23.87,16.20,11.55
24-August-2018,1265.00,1280.00,1260.90,1278.05,1272.662423917266386694,378371,8861,481538554.00,90844,24.01,19.10,13.05
23-August-2018,1244.00,1273.55,1238.60,1269.70,1260.235398477986834119,364123,10008,458880694.00,103036,28.30,34.95,25.70
21-August-2018,1236.00,1251.00,1227.15,1246.50,1242.412719812700652837,427978,8444,531725311.00,169337,39.57,23.85,10.50
20-August-2018,1206.50,1238.05,1206.50,1234.90,1225.519727149481680214,561333,11226,687924665.00,232771,41.47,31.55,28.40
17-August-2018,1206.00,1215.00,1200.25,1203.45,1208.405919285329032460,190969,4483,230768070.00,44000,23.04,14.75,-2.55
16-August-2018,1206.40,1215.70,1196.25,1200.20,1204.831678029823266101,323707,6759,390012448.00,93709,28.95,19.45,-6.20
14-August-2018,1187.20,1216.40,1185.25,1210.95,1203.726430011148129573,313057,7748,376834985.00,80767,25.80,31.15,23.75
13-August-2018,1203.00,1203.00,1183.05,1187.15,1191.402455997458078432,223453,5606,266222453.00,59977,26.84,19.95,-15.85
10-August-2018,1215.00,1215.30,1201.95,1204.00,1207.810167272557247893,171098,4431,206653904.00,52765,30.84,13.35,-11.00
9-August-2018,1220.00,1231.50,1212.00,1217.95,1222.695549185988213147,528555,9232,646261846.00,295581,55.92,19.50,-2.05
8-August-2018,1188.40,1222.00,1186.00,1217.25,1205.056108083893130250,477703,13587,575658918.00,142777,29.89,36.00,28.85
7-August-2018,1196.00,1200.00,1178.30,1183.55,1185.552248457127642376,210322,4989,249347720.00,60982,28.99,21.70,-12.45
6-August-2018,1180.00,1196.00,1174.85,1191.50,1187.699622666860745037,267933,5794,318223923.00,60281,22.50,21.15,11.50
3-August-2018,1175.00,1183.85,1169.50,1176.75,1176.319454407207620796,278816,6056,327976685.00,75712,27.15,14.35,1.75
2-August-2018,1192.35,1194.50,1166.00,1168.35,1173.962170127642004399,280942,8169,329815280.00,62971,22.41,28.50,-24.00
1-August-2018,1195.00,1202.95,1185.95,1191.15,1193.344517013463892288,510625,11470,609351544.00,117387,22.99,17.00,-3.85
31-July-2018,1150.00,1190.00,1145.00,1185.85,1174.096106296918354018,1165189,15180,1368043868.00,642377,55.13,45.00,35.85
30-July-2018,1136.00,1157.55,1126.60,1149.70,1143.088598454255844214,713184,16271,815232499.00,166693,23.37,30.95,13.70
27-July-2018,1117.20,1137.00,1112.80,1129.60,1127.607317133143032137,447361,9677,504447537.00,132729,29.67,24.20,12.40
26-July-2018,1113.00,1121.00,1107.70,1110.35,1114.832218817357882982,154028,4490,171715377.00,60309,39.15,13.30,-2.65
25-July-2018,1112.25,1122.30,1104.55,1114.05,1116.138707973284027017,265010,5802,295787919.00,102790,38.79,17.75,1.80
24-July-2018,1122.00,1126.10,1107.65,1110.55,1115.066007184232672213,305391,5790,340531123.00,135804,44.47,18.45,-11.45
23-July-2018,1129.70,1130.00,1114.00,1120.15,1119.628889428918590522,205750,4704,230363644.00,69915,33.98,16.00,-9.55
20-July-2018,1110.50,1138.25,1110.50,1128.55,1125.243468568781179988,446801,12094,502759907.00,109831,24.58,27.75,18.05
19-July-2018,1095.00,1114.00,1086.80,1103.90,1094.773153238319341546,778552,9443,852337828.00,475172,61.03,27.20,8.90
18-July-2018,1097.90,1104.50,1079.00,1090.55,1091.012232898888342492,278593,6239,303948371.00,68116,24.45,25.50,-7.35
17-July-2018,1079.00,1095.00,1069.15,1091.70,1085.885690960883762940,287860,7215,312583055.00,65358,22.70,25.85,12.70
16-July-2018,1098.05,1108.50,1073.00,1076.15,1081.986070422251515714,446819,10297,483451934.00,92236,20.64,35.50,-21.90
13-July-2018,1082.90,1107.25,1080.90,1096.75,1097.389221721226647577,874481,18901,959646024.00,151061,17.27,26.35,13.85
12-July-2018,1043.15,1098.80,1043.15,1082.20,1080.071253870827459598,1370508,31087,1480246294.00,354404,25.86,55.65,39.05
11-July-2018,1025.00,1038.70,1017.00,1036.35,1029.927221081130395973,405557,10212,417694194.00,94709,23.35,21.70,11.35
10-July-2018,1001.50,1028.50,1001.50,1025.75,1018.882584797504116701,610926,15491,622461862.00,284106,46.50,27.00,24.25
9-July-2018,985.50,998.70,983.30,995.65,992.302394762693214202,288087,7756,285869420.00,96762,33.59,15.40,10.15
6-July-2018,965.90,982.45,964.80,976.50,976.977776325055789476,336533,7663,328785262.00,78509,23.33,17.65,10.60
5-July-2018,998.70,1008.50,960.10,965.00,986.866420584706856092,1290356,25652,1273409007.00,339478,26.31,48.40,-33.70
4-July-2018,974.80,992.00,972.00,990.05,983.211169475991469697,337151,6750,331490629.00,100560,29.83,20.00,15.25
3-July-2018,964.00,978.25,961.00,971.60,972.204052317229908520,224859,4442,218608831.00,48814,21.71,17.25,7.60
2-July-2018,973.00,973.50,957.55,961.05,962.492354930793772638,208435,4397,200617094.00,44981,21.58,15.95,-11.95
29-June-2018,952.00,977.75,949.70,972.95,966.319314186580868217,325103,8350,314153308.00,91440,28.13,28.05,20.95
28-June-2018,965.05,969.00,941.35,944.70,953.806090204973000301,284818,6887,271661143.00,102753,36.08,27.65,-20.35
27-June-2018,980.00,985.75,960.50,965.30,972.718386065583029289,354116,8206,344455144.00,126179,35.63,25.25,-14.70
26-June-2018,1003.60,1005.05,975.50,978.70,986.145090544350466276,368880,9260,363769201.00,133718,36.25,29.55,-24.90
25-June-2018,1017.00,1017.00,1001.95,1003.55,1008.548410651291582900,210904,3934,212706894.00,59013,27.98,15.05,-13.45
22-June-2018,1030.00,1030.00,1008.60,1012.30,1011.994750765018824008,6655065,8066,6734890846.00,6219923,93.46,21.40,-17.70
21-June-2018,1023.00,1035.80,1020.40,1032.35,1030.332160789317921468,444333,9542,457810580.00,147825,33.27,15.40,9.35
20-June-2018,996.50,1021.75,996.00,1019.95,1015.903655206197511960,340911,6983,346332731.00,97011,28.46,25.75,23.45
19-June-2018,1015.00,1015.00,993.05,995.65,1002.346721765648858190,236423,7261,236977819.00,94910,40.14,21.95,-19.35
18-June-2018,1010.80,1018.60,1007.70,1015.00,1014.042933161883395803,292408,5158,296514266.00,132923,45.46,10.90,4.20
15-June-2018,1007.50,1023.50,999.75,1013.85,1015.999714241432086328,412936,13182,419542858.00,146759,35.54,23.75,6.35
14-June-2018,996.20,1011.70,988.20,1007.50,1002.799912261610033463,294056,6461,294879331.00,108044,36.74,23.50,11.30
13-June-2018,999.00,1004.90,990.00,1002.10,999.186076825939956821,343686,7975,343406266.00,125598,36.54,14.90,3.10
12-June-2018,982.20,998.00,980.45,995.40,990.892382173562821587,243324,5183,241107898.00,92668,38.08,17.55,13.20
11-June-2018,984.35,999.50,978.20,982.45,993.511780280823826777,832408,7753,827007154.00,682713,82.02,21.30,-1.90
8-June-2018,968.90,986.50,960.55,983.40,974.264816657591858958,266305,5951,259451592.00,94254,35.39,25.95,14.50
7-June-2018,955.00,975.60,955.00,971.40,970.583696735892455065,329983,7317,320276120.00,145324,44.04,20.60,16.40
6-June-2018,948.90,955.40,942.55,953.40,952.240181400463845123,183682,4254,174909381.00,85289,46.43,12.85,4.50
5-June-2018,941.25,955.00,941.20,947.85,949.147687343009857339,289429,6501,274710866.00,121237,41.89,13.80,6.60
4-June-2018,934.80,943.75,932.00,939.35,939.162881165721294867,1868577,8483,1754898159.00,105184,5.63,11.75,4.55
1-June-2018,921.30,934.90,919.10,929.20,928.297577551998230893,2034925,5546,1889015948.00,1852911,91.06,15.80,7.90
31-May-2018,919.35,924.00,916.50,921.30,921.284894667758262715,2016619,7010,1857880623.00,815070,40.42,7.50,1.95
30-May-2018,914.00,922.80,907.10,917.35,916.664461335849760973,482165,5720,441983520.00,208916,43.33,15.70,3.35
29-May-2018,920.05,927.90,914.15,917.00,919.990905052797311976,227379,4026,209186612.00,63569,27.96,13.75,-3.05
28-May-2018,923.55,927.15,918.95,921.00,922.220518379117651622,1353411,4338,1248143394.00,333915,24.67,8.20,-2.55
25-May-2018,918.05,924.25,915.60,921.75,920.532244063460154652,175102,3836,161187037.00,72906,41.64,8.65,3.70
24-May-2018,916.70,920.95,910.85,916.05,916.529192734103755388,238484,4963,218577548.00,80733,33.85,10.10,-0.65
23-May-2018,927.00,927.10,909.05,912.25,917.512366170713744099,275631,9609,252894851.00,118402,42.96,18.05,-14.75
22-May-2018,933.00,934.20,924.50,926.90,929.621822033898305084,220896,5801,205349742.00,80243,36.33,9.70,-6.10
21-May-2018,932.00,935.40,922.00,931.95,927.531718386712080784,233114,5205,216220629.00,92122,39.52,13.40,-0.05
18-May-2018,946.00,953.55,931.50,933.40,941.189844231748840451,484887,8371,456370720.00,265293,54.71,22.05,-12.60
17-May-2018,959.90,960.70,942.50,945.15,949.041759167870949861,1414396,6860,1342320868.00,459082,32.46,18.20,-14.75
16-May-2018,976.30,976.30,954.40,956.45,961.539132749186011502,1288716,7546,1239150865.00,299595,23.25,21.90,-19.85
15-May-2018,980.00,999.30,977.00,979.35,991.202571272163454761,305063,7562,302379230.00,110871,36.34,22.30,-0.65
14-May-2018,993.90,993.90,976.40,984.85,983.688782776241936835,167118,5265,164392102.00,52045,31.14,17.50,-9.05
11-May-2018,982.80,990.15,977.25,988.50,984.938234677963734549,343688,7210,338511452.00,140530,40.89,12.90,5.70
10-May-2018,977.10,984.00,974.50,980.70,980.337279733961757002,319954,8042,313662834.00,123112,38.48,9.50,3.60
9-May-2018,967.65,982.65,962.00,975.30,975.197030501200327280,333659,5265,325383266.00,96837,29.02,20.65,7.65
8-May-2018,973.55,982.00,965.15,967.65,973.739739535214270485,337704,6241,328835805.00,128504,38.05,16.85,-5.90
7-May-2018,958.00,974.00,956.50,971.85,964.644672944073322541,350888,11165,338482240.00,166744,47.52,17.50,13.85
4-May-2018,963.95,964.50,949.65,953.90,954.609350048130157299,179721,6037,171563347.00,78990,43.95,14.85,-10.05
3-May-2018,977.00,978.80,959.30,962.60,963.481683115714205351,319978,6539,308292942.00,142283,44.47,19.50,-14.40
2-May-2018,968.80,978.20,966.25,973.00,973.458405143200170407,309846,9705,301622193.00,99902,32.24,11.95,4.20
30-April-2018,984.70,992.00,961.00,963.10,969.730680196837783536,549488,14823,532855372.00,153539,27.94,31.00,-21.60
27-April-2018,988.25,1010.70,988.25,994.75,998.945870012254015958,1092703,19151,1091551149.00,433861,39.71,22.45,6.50
26-April-2018,972.00,988.00,963.40,975.35,977.860782880884131067,530962,11869,519206917.00,145526,27.41,24.60,3.35
25-April-2018,972.55,981.45,964.50,970.70,971.498738777707513969,425381,7326,413257105.00,121573,28.58,16.95,-1.85
24-April-2018,937.70,974.50,935.00,969.75,959.968820653236847252,511300,11378,490832058.00,154076,30.13,39.50,32.05
